Task Id,Accepted,Fleet,Robot,Prev Cost,New Cost,Dipatch Time,Start Time,Finish Time
patrol.dispatch-6,1,tinyRobot,tinyRobotD,729.909023607,575.546848677,2023-07-30 08:47:27.383584,,
patrol.dispatch-6,1,tinyRobot,tinyRobotD,575.546848677,591.022498817,2023-07-30 08:47:37.383764,,
patrol.dispatch-8,1,tinyRobot,tinyRobotD,438.136379208,530.178030131,2023-07-30 08:45:08.399357,2023-07-30 08:47:18.041561,2023-07-30 08:47:45.542520
patrol.dispatch-6,1,tinyRobot,tinyRobotD,259.87150526299996,334.33143592499994,2023-07-30 08:45:03.799735,2023-07-30 08:47:45.642574,None
patrol.dispatch-9,1,tinyRobot,tinyRobotB,530.178030131,599.0180922650001,2023-07-30 08:45:10.807292,2023-07-30 08:47:27.241918,2023-07-30 08:47:45.655844
patrol.dispatch-5,1,tinyRobot,tinyRobotD,174.64713948600001,259.87150526299996,2023-07-30 08:45:01.584352,2023-07-30 08:47:45.742715,None
patrol.dispatch-5,1,tinyRobot,tinyRobotD,174.64713948600001,259.87150526299996,2023-07-30 08:45:01.584352,2023-07-30 08:47:45.742715,2023-07-30 08:48:09.043378
patrol.dispatch-7,1,tinyRobot,tinyRobotB,334.33143592499994,438.136379208,2023-07-30 08:45:06.198562,2023-07-30 08:48:09.143325,None
patrol.dispatch-6,1,tinyRobot,tinyRobotD,259.87150526299996,334.33143592499994,2023-07-30 08:45:03.799735,2023-07-30 08:47:45.642574,2023-07-30 08:48:17.743789
patrol.dispatch-5,1,tinyRobot,tinyRobotB,591.022498817,244.465292752,2023-07-30 08:48:27.385341,,
patrol.dispatch-5,1,tinyRobot,tinyRobotB,244.465292752,244.465292752,2023-07-30 08:48:37.385657,,
patrol.dispatch-5,1,tinyRobot,tinyRobotB,244.465292752,251.231653221,2023-07-30 08:48:47.386138,,
patrol.dispatch-7,1,tinyRobot,tinyRobotB,334.33143592499994,438.136379208,2023-07-30 08:45:06.198562,2023-07-30 08:48:09.143325,2023-07-30 08:48:52.545296
patrol.dispatch-5,1,tinyRobot,tinyRobotD,174.64713948600001,259.87150526299996,2023-07-30 08:45:01.584352,2023-07-30 08:48:52.645271,None
